	NR	NRName	CID	EC50
6598	NR1C3	PPAR_gamma	4395	0.001
6650	NR1C3	PPAR_gamma	4447	0.001
6652	NR1C3	PPAR_gamma	4449	0.001
6654	NR1C3	PPAR_gamma	4451	0.001
6658	NR1C3	PPAR_gamma	4455	0.001
6660	NR1C3	PPAR_gamma	4457	0.001
6668	NR1C3	PPAR_gamma	4465	0.001
6669	NR1C3	PPAR_gamma	4466	0.001
6988	NR1C3	PPAR_gamma	4785	0.001
7034	NR1C3	PPAR_gamma	4831	0.001
7039	NR1C3	PPAR_gamma	4836	0.001
7047	NR1C3	PPAR_gamma	4844	0.001
7686	NR1C3	PPAR_gamma	8051	0.001
7998	NR1C3	PPAR_gamma	8363	0.001
8120	NR1C3	PPAR_gamma	8485	0.001
8125	NR1C3	PPAR_gamma	8490	0.001
8129	NR1C3	PPAR_gamma	8494	0.001
8240	NR1C3	PPAR_gamma	9582	0.001
8820	NR2B1	RXR_alpha	3395	0.001
9175	NR2B1	RXR_alpha	6221	0.0014
8788	NR2B1	RXR_alpha	3363	0.0015
8829	NR2B1	RXR_alpha	3404	0.0015
9165	NR2B1	RXR_alpha	6211	0.0018
9349	NR2B3	RXR_gamma	10129	0.0018
9412	NR2B3	RXR_gamma	10192	0.0018
9418	NR2B3	RXR_gamma	10198	0.0018
806	NR1H2	LXR_beta	10593	0.002
4246	NR1H3	LXR_alpha	10592	0.002
4892	NR1C2	PPAR_delta	2559	0.002
754	NR1H2	LXR_beta	8911	0.002
873	NR1C1	PPAR_alpha	3549	0.002
977	NR1C1	PPAR_alpha	3653	0.002
1239	NR1C1	PPAR_alpha	3915	0.002
1269	NR1C1	PPAR_alpha	3945	0.002
1319	NR1C1	PPAR_alpha	3995	0.002
1471	NR1C1	PPAR_alpha	5026	0.002
1736	NR1C1	PPAR_alpha	5291	0.002
1963	NR1C1	PPAR_alpha	7431	0.002
2178	NR1C1	PPAR_alpha	7646	0.002
2189	NR1C1	PPAR_alpha	7657	0.002
2690	NR1C1	PPAR_alpha	9282	0.002
2785	NR1C1	PPAR_alpha	9377	0.002
2858	NR1C1	PPAR_alpha	9450	0.002
2898	NR1C1	PPAR_alpha	9490	0.002
3038	NR1C1	PPAR_alpha	10889	0.002
3280	NR1C1	PPAR_alpha	11131	0.002
4245	NR1H3	LXR_alpha	10589	0.002
4407	NR1C2	PPAR_delta	1729	0.002
4409	NR1C2	PPAR_delta	1731	0.002
4421	NR1C2	PPAR_delta	1743	0.002
4942	NR1C2	PPAR_delta	2609	0.002
5016	NR1C2	PPAR_delta	2683	0.002
5024	NR1C2	PPAR_delta	2691	0.002
5054	NR1C2	PPAR_delta	6458	0.002
5057	NR1C2	PPAR_delta	6461	0.002
5170	NR1C2	PPAR_delta	6574	0.002
5171	NR1C2	PPAR_delta	6575	0.002
5191	NR1C2	PPAR_delta	6595	0.002
5373	NR1C2	PPAR_delta	6777	0.002
5401	NR1C2	PPAR_delta	6805	0.002
5528	NR1C2	PPAR_delta	6932	0.002
5552	NR1C2	PPAR_delta	6956	0.002
6146	NR1C3	PPAR_gamma	2874	0.002
6360	NR1C3	PPAR_gamma	3088	0.002
6409	NR1C3	PPAR_gamma	3137	0.002
6411	NR1C3	PPAR_gamma	3139	0.002
6418	NR1C3	PPAR_gamma	3146	0.002
6419	NR1C3	PPAR_gamma	3147	0.002
6475	NR1C3	PPAR_gamma	3203	0.002
6586	NR1C3	PPAR_gamma	4383	0.002
6600	NR1C3	PPAR_gamma	4397	0.002
7038	NR1C3	PPAR_gamma	4835	0.002
7608	NR1C3	PPAR_gamma	7322	0.002
7688	NR1C3	PPAR_gamma	8053	0.002
7753	NR1C3	PPAR_gamma	8118	0.002
8113	NR1C3	PPAR_gamma	8478	0.002
8118	NR1C3	PPAR_gamma	8483	0.002
8198	NR1C3	PPAR_gamma	9540	0.002
8242	NR1C3	PPAR_gamma	9584	0.002
8259	NR1C3	PPAR_gamma	9601	0.002
9139	NR2B1	RXR_alpha	6185	0.002
9140	NR2B1	RXR_alpha	6186	0.002
9368	NR2B3	RXR_gamma	10148	0.002
9574	NR2B2	RXR_beta	4186	0.002
9596	NR2B2	RXR_beta	4208	0.002
9597	NR2B2	RXR_beta	4209	0.002
9414	NR2B3	RXR_gamma	10194	0.0021
8832	NR2B1	RXR_alpha	3407	0.0022
1543	NR1C1	PPAR_alpha	5098	0.0023
3092	NR1C1	PPAR_alpha	10943	0.0023
9184	NR2B1	RXR_alpha	6230	0.0023
3541	NR1H4	FXR	5736	0.0025
9377	NR2B3	RXR_gamma	10157	0.0026
9374	NR2B3	RXR_gamma	10154	0.0029
3256	NR1C1	PPAR_alpha	11107	0.003
6291	NR1C3	PPAR_gamma	3019	0.003
606	NR1H2	LXR_beta	8763	0.003
