,PID,ID,NAME,Prob
0,NR1C1,CHEMBL1783156,CHEMBL1783156,0.7065868263473054
1,NR1C2,CHEMBL1783156,CHEMBL1783156,0.7145708582834331
2,NR1C3,CHEMBL1783156,CHEMBL1783156,0.6899534264803726
3,NR1H2,CHEMBL1783156,CHEMBL1783156,0.7065868263473054
4,NR2B1,CHEMBL1783156,CHEMBL1783156,0.7504990019960079
5,NR1H3,CHEMBL1783156,CHEMBL1783156,0.6806387225548902
6,NR1H4,CHEMBL1783156,CHEMBL1783156,0.7065868263473054
7,NR2B3,CHEMBL1783156,CHEMBL1783156,0.7445109780439122
8,NR2B2,CHEMBL1783156,CHEMBL1783156,0.7053559547571523
9,NR1D1,CHEMBL1783156,CHEMBL1783156,0.6522954091816368
10,NR1I2,CHEMBL1783156,CHEMBL1783156,0.5844311377245509
11,NR1C1,CHEMBL1093006,CHEMBL1093006,0.5202927478376581
12,NR1C2,CHEMBL1093006,CHEMBL1093006,0.5404191616766467
13,NR1C3,CHEMBL1093006,CHEMBL1093006,0.5282767797737858
14,NR1H2,CHEMBL1093006,CHEMBL1093006,0.5499001996007984
15,NR2B1,CHEMBL1093006,CHEMBL1093006,0.4231536926147705
16,NR1H3,CHEMBL1093006,CHEMBL1093006,0.5736859614105123
17,NR1H4,CHEMBL1093006,CHEMBL1093006,0.5783433133732535
18,NR2B3,CHEMBL1093006,CHEMBL1093006,0.3852295409181637
19,NR2B2,CHEMBL1093006,CHEMBL1093006,0.44510978043912175
20,NR1D1,CHEMBL1093006,CHEMBL1093006,0.3586161011310712
21,NR1I2,CHEMBL1093006,CHEMBL1093006,0.3812375249500998
22,NR1C1,CHEMBL1990220,CHEMBL1990220,0.7313373253493014
23,NR1C2,CHEMBL1990220,CHEMBL1990220,0.7754491017964071
24,NR1C3,CHEMBL1990220,CHEMBL1990220,0.7781104457751165
25,NR1H2,CHEMBL1990220,CHEMBL1990220,0.7182302062541585
26,NR2B1,CHEMBL1990220,CHEMBL1990220,0.8263473053892215
27,NR1H3,CHEMBL1990220,CHEMBL1990220,0.7604790419161677
28,NR1H4,CHEMBL1990220,CHEMBL1990220,0.7405189620758483
29,NR2B3,CHEMBL1990220,CHEMBL1990220,0.812375249500998
30,NR2B2,CHEMBL1990220,CHEMBL1990220,0.7334664005322689
31,NR1D1,CHEMBL1990220,CHEMBL1990220,0.8019960079840319
