,PID,ID,NAME,Prob
0,NR1C1,CHEMBL1783156,CHEMBL1783156,0.6555460507556317
1,NR1C2,CHEMBL1783156,CHEMBL1783156,0.6916167664670658
2,NR1C3,CHEMBL1783156,CHEMBL1783156,0.6337325349301397
3,NR1H2,CHEMBL1783156,CHEMBL1783156,0.6525520387795837
4,NR2B1,CHEMBL1783156,CHEMBL1783156,0.7485029940119761
5,NR1H3,CHEMBL1783156,CHEMBL1783156,0.6794981465640149
6,NR1H4,CHEMBL1783156,CHEMBL1783156,0.6934702024522384
7,NR2B3,CHEMBL1783156,CHEMBL1783156,0.7465069860279441
8,NR2B2,CHEMBL1783156,CHEMBL1783156,0.6806387225548902
9,NR1D1,CHEMBL1783156,CHEMBL1783156,0.7365269461077845
10,NR1I2,CHEMBL1783156,CHEMBL1783156,0.6387225548902196
11,NR1C1,CHEMBL1093006,CHEMBL1093006,0.7155688622754491
12,NR1C2,CHEMBL1093006,CHEMBL1093006,0.7578176979374583
13,NR1C3,CHEMBL1093006,CHEMBL1093006,0.7737857618097138
14,NR1H2,CHEMBL1093006,CHEMBL1093006,0.7253825681969394
15,NR2B1,CHEMBL1093006,CHEMBL1093006,0.8143712574850299
16,NR1H3,CHEMBL1093006,CHEMBL1093006,0.7658017298735861
17,NR1H4,CHEMBL1093006,CHEMBL1093006,0.7618097139055222
18,NR2B3,CHEMBL1093006,CHEMBL1093006,0.7844311377245509
19,NR2B2,CHEMBL1093006,CHEMBL1093006,0.728210246174318
20,NR1D1,CHEMBL1093006,CHEMBL1093006,0.8063872255489022
21,NR1I2,CHEMBL1093006,CHEMBL1093006,0.6646706586826348
22,NR1C1,CHEMBL1990220,CHEMBL1990220,0.7282007413743941
23,NR1C2,CHEMBL1990220,CHEMBL1990220,0.7634730538922155
24,NR1C3,CHEMBL1990220,CHEMBL1990220,0.7501663339986694
25,NR1H2,CHEMBL1990220,CHEMBL1990220,0.717089630263283
26,NR2B1,CHEMBL1990220,CHEMBL1990220,0.7884231536926147
27,NR1H3,CHEMBL1990220,CHEMBL1990220,0.737382378100941
28,NR1H4,CHEMBL1990220,CHEMBL1990220,0.7333903621328771
29,NR2B3,CHEMBL1990220,CHEMBL1990220,0.7784431137724551
30,NR2B2,CHEMBL1990220,CHEMBL1990220,0.7184963406520294
31,NR1D1,CHEMBL1990220,CHEMBL1990220,0.7920159680638723
32,NR1I2,CHEMBL1990220,CHEMBL1990220,0.6812375249500998
33,NR1C1,CHEMBL1506656,CHEMBL1506656,0.6635300826917594
34,NR1C2,CHEMBL1506656,CHEMBL1506656,0.688622754491018
35,NR1C3,CHEMBL1506656,CHEMBL1506656,0.6304058549567533
36,NR1H2,CHEMBL1506656,CHEMBL1506656,0.6711814466305485
37,NR2B1,CHEMBL1506656,CHEMBL1506656,0.7684630738522954
38,NR1H3,CHEMBL1506656,CHEMBL1506656,0.674508126603935
39,NR1H4,CHEMBL1506656,CHEMBL1506656,0.6844881665240947
40,NR2B3,CHEMBL1506656,CHEMBL1506656,0.7504990019960079
41,NR2B2,CHEMBL1506656,CHEMBL1506656,0.6799733865602128
42,NR1D1,CHEMBL1506656,CHEMBL1506656,0.7365269461077845
43,NR1I2,CHEMBL1506656,CHEMBL1506656,0.6107784431137725
44,NR1C1,CHEMBL1689168,CHEMBL1689168,0.5689478186484175
45,NR1C2,CHEMBL1689168,CHEMBL1689168,0.6384516680923866
46,NR1C3,CHEMBL1689168,CHEMBL1689168,0.6048902195608782
47,NR1H2,CHEMBL1689168,CHEMBL1689168,0.58565250451478
48,NR2B1,CHEMBL1689168,CHEMBL1689168,0.7406852960745177
49,NR1H3,CHEMBL1689168,CHEMBL1689168,0.6125986122992111
50,NR1H4,CHEMBL1689168,CHEMBL1689168,0.6395114532839083
51,NR2B3,CHEMBL1689168,CHEMBL1689168,0.6887890884896872
